artifact_root_name,run_id,model_pipeline,selected_operator_by_cv,operator,deployment_reference,model_state,gross_pnl_sum,pnl_sum,pnl_per_trade,n_trades,trade_rate,sign_accuracy,win_rate,sharpe_like,dir_auc,trade_auc,rmse,mae,ic,exit_type_accuracy,selection_score,scaled_soft_utility,long_trades,short_trades,long_pnl_sum,short_pnl_sum,timeout_trade_count,upper_exit_trade_count,lower_exit_trade_count,vertical_exit_trade_count,selected_thr_trade,selected_thr_dir,selected_coverage,fit_duration_min,best_epoch_cumulative_train_duration_min,model_name,avg_predicted_tte,avg_true_tte,soft_utility_mean,early_stop_score,predicted_exit_bar_mean,predicted_timeout_rate,backtest_mode,backtest_uses_oracle_exit,coverage,selected_feasible,selected_selection_stage,selected_calibration_sample_count
art_fix5min01_emg__basic_param_5min_0412213808,20260412T213808Z_manual,memorygraph,mpnn,conv,False,best_cv,0.0094594326801598,0.0043594326801598,0.0002564372164799,17,0.0550161812297734,0.5882352941176471,0.5882352941176471,0.366932799614695,0.611842105263158,0.734195681773974,0.0440658611435959,0.0330048566798122,-0.0583615456224444,0.6828478964401294,0.3789727383740608,-0.0064855612604563,11,6,0.0014207191819325,0.0029387134982272,4,7,6,4,0.5,0.5,0.0,,,conv_fold_04_best,1.0,1.0,-1.139875608008387e-05,0.3789727383740608,1.0,0.9870550161812298,realized_event_entry_model,True,0.0550161812297734,False,threshold_calibration_val,133
art_fix5min01_emg__basic_param_5min_0412213808,20260412T213808Z_manual,memorygraph,mpnn,conv,True,last_cv,0.0094594326801598,0.0043594326801598,0.0002564372164799,17,0.0550161812297734,0.5882352941176471,0.5882352941176471,0.366932799614695,0.611842105263158,0.734195681773974,0.0440658611435959,0.0330048566798122,-0.0583615456224444,0.6828478964401294,0.3789727383740608,-0.0064855612604563,11,6,0.0014207191819325,0.0029387134982272,4,7,6,4,0.5,0.5,0.0,,,conv_fold_04_best,1.0,1.0,-1.139875608008387e-05,0.3789727383740608,1.0,0.9870550161812298,realized_event_entry_model,True,0.0550161812297734,False,threshold_calibration_val,133
art_fix5min01_emg__basic_param_5min_0412213808,20260412T213808Z_manual,memorygraph,mpnn,conv,False,final_refit,0.0290749424784735,-0.0003250575215264,-3.316913484963888e-06,98,0.3171521035598705,0.5408163265306123,0.5306122448979592,-0.0131410943977192,0.6311403508771929,0.7229138299941645,0.0160147206771766,0.0137928647349367,0.0293938911604051,0.686084142394822,0.4307464549621466,0.038296222568285,80,18,-0.0062796054650098,0.0059545479434833,44,27,27,44,0.54,0.56,0.3157894736842105,34.0,22.0,conv_production_best,1.0,1.0,6.730786778718461e-05,0.4307464549621466,1.0,0.9805825242718448,realized_event_entry_model,True,0.3171521035598705,True,threshold_calibration_val,133
art_fix5min01_emg__basic_param_5min_0412213808,20260412T213808Z_manual,memorygraph,mpnn,mpnn,False,best_cv,0.0194464240921661,0.0122464240921661,0.0005102676705069,24,0.0776699029126213,0.6666666666666666,0.6666666666666666,1.0104901490391964,0.5868421052631578,0.6903812487842832,0.0409843089691536,0.0293153292324806,-0.1060462473211008,0.7022653721682848,0.4130172531718903,0.0453811184858268,22,2,0.006846424040012,0.005400000052154,9,8,7,9,0.58,0.68,0.0451127819548872,,,mpnn_fold_02_best,1.0,1.0,7.975998984318029e-05,0.4130172531718903,1.0,0.9579288025889968,realized_event_entry_model,True,0.0776699029126213,False,threshold_calibration_val,133
art_fix5min01_emg__basic_param_5min_0412213808,20260412T213808Z_manual,memorygraph,mpnn,mpnn,True,last_cv,-0.0124631424550898,-0.0373631424550898,-0.0004501583428324,83,0.2686084142394822,0.4457831325301205,0.4457831325301205,-1.6070950279968728,0.537719298245614,0.7260260649679051,0.024487040144012,0.019350362989561,0.0195116590129041,0.686084142394822,0.3382552469262528,-0.0126223470294592,79,4,-0.0371266439126804,-0.0002364985424093,35,21,27,35,0.58,0.5,0.3458646616541353,,,mpnn_fold_04_best,1.0,1.0,-2.218451868217377e-05,0.3382552469262528,1.0,1.0,realized_event_entry_model,True,0.2686084142394822,True,threshold_calibration_val,133
art_fix5min01_emg__basic_param_5min_0412213808,20260412T213808Z_manual,memorygraph,mpnn,mpnn,False,final_refit,0.0179054362324677,-0.0144945637675322,-0.0001342089237734,108,0.3495145631067961,0.5277777777777778,0.5185185185185185,-0.5487381582532538,0.5442982456140351,0.7372592880762497,0.0143688165157787,0.0108634185489761,-0.0771922268008659,0.6990291262135923,0.3816562206803325,0.0261331169425792,91,17,-0.0223724763330072,0.0078779125654749,46,28,34,46,0.5,0.5,0.3082706766917293,63.0,50.0,mpnn_production_best,1.0,1.0,4.593049293312918e-05,0.3816562206803325,1.0,0.9158576051779936,realized_event_entry_model,True,0.3495145631067961,True,threshold_calibration_val,133
