artifact_root_name,run_id,model_pipeline,selected_operator_by_cv,operator,deployment_reference,model_state,gross_pnl_sum,pnl_sum,pnl_per_trade,n_trades,trade_rate,sign_accuracy,win_rate,sharpe_like,dir_auc,trade_auc,rmse,mae,ic,exit_type_accuracy,selection_score,scaled_soft_utility,long_trades,short_trades,long_pnl_sum,short_pnl_sum,timeout_trade_count,upper_exit_trade_count,lower_exit_trade_count,vertical_exit_trade_count,selected_thr_trade,selected_thr_dir,selected_coverage,fit_duration_min,best_epoch_cumulative_train_duration_min,model_name,avg_predicted_tte,avg_true_tte,soft_utility_mean,coverage,selected_feasible
art_1sec02_bg_conv_1sec_0424141636,20260424T141636Z_manual,base_gnn,adaptive_conv,adaptive_conv,False,best_cv,0.0545990012469701,-0.0753009987530298,-0.0001739053088984,433,0.004672594638926,0.6535796766743649,0.648960739030023,-9.27560482592548,0.5953612864956767,0.8325404037574814,0.0005423774348725,0.000425643305136,0.1208964224439795,0.5654594897915138,0.4678742329007157,0.075080593414039,422,11,-0.0772460409320425,0.0019450421790126,2,272,159,2,0.5,0.68,0.0244064875029381,,,adaptive_conv_fold_01_best,15.44313678981191,18.76436310268917,3.373350683299756e-05,0.0140069927051409,True
art_1sec02_bg_conv_1sec_0424141636,20260424T141636Z_manual,base_gnn,adaptive_conv,adaptive_conv,True,last_cv,0.1395149556919932,-0.0941850443080067,-0.0001209050632965,779,0.008406353865412,0.6842105263157895,0.6803594351732991,-6.506929963228913,0.5997534692457426,0.8418038872309273,0.0005921133545871,0.0004665217741813,-0.0060616313528404,0.5628803902102129,0.4633466947215382,0.067187050476315,399,380,-0.0462259384119417,-0.047959105896065,4,392,383,4,0.5,0.64,0.021194076627752,,,adaptive_conv_fold_02_best,14.386053235581436,18.76436310268917,3.0186959416172226e-05,0.015970993223119,True
art_1sec02_bg_conv_1sec_0424141636,20260424T141636Z_manual,base_gnn,adaptive_conv,adaptive_conv,False,final_refit,0.2627943693187262,-0.2646056306812737,-0.0001505151482828,1758,0.0189709500582725,0.6689419795221843,0.6655290102389079,-11.677532768871355,0.5901942283885427,0.8287034443580015,0.0005108086992503,0.0004282240632288,0.1346183092352033,0.5513122113350887,0.4651731324667835,0.075280213038239,985,773,-0.16241597510071,-0.1021896555805637,9,870,879,9,0.7,0.68,0.0372953067460628,618.0,376.0,adaptive_conv_production_best,13.45405786398258,18.76436310268917,3.382319538833191e-05,0.0631501705011438,True
