artifact_root_name,run_id,model_pipeline,selected_operator_by_cv,operator,deployment_reference,model_state,gross_pnl_sum,pnl_sum,pnl_per_trade,n_trades,trade_rate,sign_accuracy,win_rate,sharpe_like,dir_auc,trade_auc,rmse,mae,ic,exit_type_accuracy,selection_score,scaled_soft_utility,long_trades,short_trades,long_pnl_sum,short_pnl_sum,timeout_trade_count,upper_exit_trade_count,lower_exit_trade_count,vertical_exit_trade_count,selected_thr_trade,selected_thr_dir,selected_coverage,fit_duration_min,best_epoch_cumulative_train_duration_min,model_name,avg_predicted_tte,avg_true_tte,soft_utility_mean,coverage,selected_feasible
art_311_1min_mu_dympnn_lr020_ep30_1min_0427095539,20260427T095539Z_manual,multigraph,dynamic_edge_mpnn,dynamic_edge_mpnn,False,best_cv,-0.0033705852547427,-0.0357705852547427,-0.000331209122729,108,0.0699935191186001,0.4907407407407407,0.4814814814814814,-1.2944412213900252,0.5284050141391973,0.6450041899289344,0.0052229920957989,0.0042379697471118,-0.048370200286075,0.406351263771873,0.3280656475874973,-0.0064672372644816,105,3,-0.035681198994047,-8.938626069575524e-05,16,47,45,16,0.58,0.56,0.0504504504504504,,,dynamic_edge_mpnn_fold_04_best,4.474313369217587,3.508749189889825,-1.1528718361417032e-05,0.1062864549578742,True
art_311_1min_mu_dympnn_lr020_ep30_1min_0427095539,20260427T095539Z_manual,multigraph,dynamic_edge_mpnn,dynamic_edge_mpnn,True,last_cv,-0.0033705852547427,-0.0357705852547427,-0.000331209122729,108,0.0699935191186001,0.4907407407407407,0.4814814814814814,-1.2944412213900252,0.5284050141391973,0.6450041899289344,0.0052229920957989,0.0042379697471118,-0.048370200286075,0.406351263771873,0.3280656475874973,-0.0064672372644816,105,3,-0.035681198994047,-8.938626069575524e-05,16,47,45,16,0.58,0.56,0.0504504504504504,,,dynamic_edge_mpnn_fold_04_best,4.474313369217587,3.508749189889825,-1.1528718361417032e-05,0.1062864549578742,True
art_311_1min_mu_dympnn_lr020_ep30_1min_0427095539,20260427T095539Z_manual,multigraph,dynamic_edge_mpnn,dynamic_edge_mpnn,False,final_refit,0.0217351914907339,-0.0115648085092659,-0.0001041874640474,111,0.0719377835385612,0.5405405405405406,0.5405405405405406,-0.3864869515611896,0.5228042037732664,0.6270020060871868,0.0034725922190429,0.0025730653261636,0.0576327068256092,0.4193130265716137,0.3473261808275559,0.018013988216508,92,19,-0.0096760622096713,-0.0018887462995946,9,55,47,9,0.7,0.5,0.0588588588588588,74.0,42.0,dynamic_edge_mpnn_production_best,4.297535015095076,3.508749189889825,3.2112351568510456e-05,0.1173039533376539,True
