artifact_root_name,run_id,model_pipeline,selected_operator_by_cv,operator,deployment_reference,model_state,gross_pnl_sum,pnl_sum,pnl_per_trade,n_trades,trade_rate,sign_accuracy,win_rate,sharpe_like,dir_auc,trade_auc,rmse,mae,ic,exit_type_accuracy,selection_score,scaled_soft_utility,long_trades,short_trades,long_pnl_sum,short_pnl_sum,timeout_trade_count,upper_exit_trade_count,lower_exit_trade_count,vertical_exit_trade_count,selected_thr_trade,selected_thr_dir,selected_coverage,fit_duration_min,best_epoch_cumulative_train_duration_min,model_name,avg_predicted_tte,avg_true_tte,soft_utility_mean,coverage,selected_feasible
art_1sec01_mu_mpnn_1sec_0418161814,20260418T161814Z_manual,multigraph,dynamic_edge_mpnn,dynamic_edge_mpnn,False,best_cv,0.0797771017278137,-0.0807228982721862,-0.000150883922004,535,0.0057732982259248,0.680373831775701,0.6766355140186916,-7.960090676018445,0.6005382022169753,0.8683696323478309,0.0005037454962744,0.0004474830151836,0.0246845786775932,0.5583372901109337,0.4735685764777062,0.0730709406278926,531,4,-0.0799355217283999,-0.0007873765437863,4,360,171,4,0.5,0.68,0.0201363315834835,,,dynamic_edge_mpnn_fold_02_best,13.97882530712858,18.76436310268917,3.283057529089353e-05,0.0111796952561833,True
art_1sec01_mu_mpnn_1sec_0418161814,20260418T161814Z_manual,multigraph,dynamic_edge_mpnn,dynamic_edge_mpnn,True,last_cv,0.0797771017278137,-0.0807228982721862,-0.000150883922004,535,0.0057732982259248,0.680373831775701,0.6766355140186916,-7.960090676018445,0.6005382022169753,0.8683696323478309,0.0005037454962744,0.0004474830151836,0.0246845786775932,0.5583372901109337,0.4735685764777062,0.0730709406278926,531,4,-0.0799355217283999,-0.0007873765437863,4,360,171,4,0.5,0.68,0.0201363315834835,,,dynamic_edge_mpnn_fold_02_best,13.97882530712858,18.76436310268917,3.283057529089353e-05,0.0111796952561833,True
art_1sec01_mu_mpnn_1sec_0418161814,20260418T161814Z_manual,multigraph,dynamic_edge_mpnn,dynamic_edge_mpnn,False,final_refit,0.0571270042273681,-0.0787729957726318,-0.0001738918228976,453,0.0048884188716709,0.6578366445916115,0.6512141280353201,-9.356826236528574,0.6003481317541399,0.8656384954732962,0.0005192039175954,0.0004358562202664,0.132197978429237,0.5670889627487374,0.4607156891172524,0.060713255506895,363,90,-0.0639786888576112,-0.0147943069150205,5,265,183,5,0.5,0.64,0.0169239207082974,489.0,118.0,dynamic_edge_mpnn_production_best,13.430224806604189,18.76436310268917,2.727830090794684e-05,0.0072301117969525,True
