artifact_root_name,run_id,model_pipeline,selected_operator_by_cv,operator,deployment_reference,model_state,gross_pnl_sum,pnl_sum,pnl_per_trade,n_trades,trade_rate,sign_accuracy,win_rate,sharpe_like,dir_auc,trade_auc,rmse,mae,ic,exit_type_accuracy,selection_score,scaled_soft_utility,long_trades,short_trades,long_pnl_sum,short_pnl_sum,timeout_trade_count,upper_exit_trade_count,lower_exit_trade_count,vertical_exit_trade_count,selected_thr_trade,selected_thr_dir,selected_coverage,fit_duration_min,best_epoch_cumulative_train_duration_min,model_name,avg_predicted_tte,avg_true_tte,soft_utility_mean,coverage,selected_feasible
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,adaptive_conv,False,best_cv,0.0367416428343858,0.0082416428343858,8.67541350987986e-05,95,0.3074433656957929,0.5578947368421052,0.5473684210526316,0.3474626291846188,0.5833333333333333,0.6668936004668352,0.067040894074654,0.045335437454897,-0.1496592257819518,0.686084142394822,0.397983990804694,0.0354499507346687,84,11,-0.0054394607977475,0.0136811036321334,44,24,27,44,0.5,0.5,0.084084084084084,,,adaptive_conv_fold_01_best,1.2263560503431894,1.0,6.230537732166055e-05,0.3074433656957929,False
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,adaptive_conv,True,last_cv,0.0281563144235406,0.0203563144235406,0.0007829351701361,26,0.0841423948220064,0.6923076923076923,0.6923076923076923,1.914417867055832,0.6171052631578948,0.7004473837774752,0.0287688262865483,0.0226732280491867,-0.0317671879239314,0.6796116504854369,0.4035104562423524,0.0207459802546784,22,4,0.0115071972765494,0.0088491171469911,15,6,5,15,0.58,0.68,0.1711711711711711,,,adaptive_conv_fold_04_best,1.0894909900368996,1.0,3.646228276451053e-05,0.0841423948220064,True
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,adaptive_conv,False,final_refit,0.017570057127159,0.011270057127159,0.0005366693870075,21,0.0679611650485436,0.6190476190476191,0.6190476190476191,0.9881144545077344,0.630701754385965,0.7217953705504766,0.0213240379136553,0.0162066155712386,0.0383715372673425,0.686084142394822,0.4358513559323791,0.0437662608761234,15,6,0.0064033061889931,0.0048667509381659,9,7,5,9,0.66,0.6,0.1621621621621621,4.0,2.0,adaptive_conv_production_best,1.0686816227860436,1.0,7.692178243786147e-05,0.0679611650485436,True
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,adaptive_mpnn,False,best_cv,0.0300922060851007,0.0012922060851007,1.3460480053133084e-05,96,0.3106796116504854,0.5208333333333334,0.5104166666666666,0.0533894506713421,0.5267543859649123,0.6750145886014394,0.036657182596425,0.0274538881436709,-0.101749647917646,0.6893203883495146,0.332422458686849,-0.0058692032875774,68,28,-0.0060181867653503,0.0073103928504511,44,24,28,44,0.5,0.5,0.09009009009009,,,adaptive_mpnn_fold_01_best,1.1190527507788155,1.0,-1.0315470623557622e-05,0.3106796116504854,False
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,adaptive_mpnn,True,last_cv,0.0144145483500324,0.0069145483500324,0.0002765819340012,25,0.0809061488673139,0.56,0.56,0.508262113095631,0.6149122807017543,0.7276308111262401,0.0384019037261924,0.0283961640340445,-0.0320389041226381,0.686084142394822,0.4002798670588537,0.0144247190741282,13,12,-0.0027635347690433,0.0096780831190757,8,7,10,8,0.5,0.53,0.045045045045045,,,adaptive_mpnn_fold_04_best,1.1646898811303297,1.0,2.535229375632343e-05,0.0809061488673139,False
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,adaptive_mpnn,False,final_refit,0.0207215028640348,0.0087215028640348,0.0002180375716008,40,0.1294498381877022,0.575,0.575,0.54557559540582,0.6368421052631579,0.7159113013032484,0.0160920632063212,0.0123006657475043,0.0847719464246458,0.6893203883495146,0.4501141947847946,0.0561485522208863,32,8,0.0045221096564549,0.0041993932075798,15,12,13,15,0.66,0.64,0.1981981981981982,8.0,6.0,adaptive_mpnn_production_best,1.0452783134762909,1.0,9.868438910878422e-05,0.1294498381877022,True
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,prior_conv,False,best_cv,0.0417858246655669,0.0219858246655669,0.0003331185555388,66,0.2135922330097087,0.5757575757575758,0.5757575757575758,1.1872349432847216,0.6666666666666665,0.717710562147442,0.0201278748802981,0.0151615796059712,-0.1218354486007192,0.686084142394822,0.4897697810447123,0.0821131967225961,45,21,-0.0002584079911466,0.0222442326567135,35,14,17,35,0.58,0.68,0.3903903903903903,,,prior_conv_fold_03_best,1.122398308179911,1.0,0.0001443187817997,0.2135922330097087,True
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,prior_conv,True,last_cv,0.0092831622459925,-0.0030168377540074,-7.358140863432745e-05,41,0.1326860841423948,0.5121951219512195,0.5121951219512195,-0.1691847609698201,0.6728070175438596,0.6812390585489205,0.0470163451761468,0.0364719696428826,0.1048438062741534,0.686084142394822,0.4274285135474801,0.0224794968704051,31,10,-0.0003859704832546,-0.0026308672707527,12,16,13,12,0.5,0.5,0.042042042042042,,,prior_conv_fold_04_best,1.22816296495666,1.0,3.950904036495464e-05,0.1326860841423948,False
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,prior_conv,False,final_refit,0.0309069631621241,0.0195069631621241,0.0005133411358453,38,0.1229773462783171,0.631578947368421,0.631578947368421,1.1799688371601196,0.6017543859649124,0.7322019062439215,0.0236631659394553,0.0186200009323573,0.0695251941065176,0.6925566343042071,0.4162047092764425,0.0355849496556437,36,2,0.0143902895979583,0.0051166735641658,10,17,11,10,0.7,0.5,0.1201201201201201,4.0,2.0,prior_conv_production_best,1.0708539466641869,1.0,6.254264588015068e-05,0.1229773462783171,True
art_304_5min_bg_guard_lr020_5min_0411144355,20260411T144355Z_manual,base_gnn,prior_mpnn,prior_mpnn,False,best_cv,0.0218589528813026,0.0056589528813026,0.0001047954237278,54,0.174757281553398,0.5370370370370371,0.5370370370370371,0.3136308717937605,0.5789473684210527,0.6193833884458276,0.0361746406360854,0.0284210238317554,-0.0116640569969466,0.6796116504854369,0.3568621152737719,0.003428291217424,39,15,-0.0007845282643567,0.0064434811456594,26,14,14,26,0.5,0.5,0.2672672672672673,,,prior_mpnn_fold_03_best,1.1557174573824245,1.0,6.025423828339684e-06,0.174757281553398,True
