run_id,operator,fold,best_epoch,best_checkpoint_key,fold_train_start_utc,fold_train_end_utc,fold_train_duration_sec,best_epoch_cumulative_train_duration_sec,selected_thr_trade,selected_thr_dir,selected_coverage,selected_feasible,selected_selection_stage,selected_calibration_sample_count,early_stop_rmse,early_stop_mae,early_stop_ic,early_stop_trade_auc,early_stop_dir_auc,early_stop_exit_type_accuracy,early_stop_avg_predicted_tte,early_stop_avg_true_tte,early_stop_soft_utility_mean,early_stop_scaled_soft_utility,early_stop_selection_score,early_stop_early_stop_score,early_stop_predicted_exit_bar_mean,early_stop_predicted_timeout_rate,early_stop_gross_pnl_sum,early_stop_pnl_sum,early_stop_pnl_per_trade,early_stop_n_trades,early_stop_trade_rate,early_stop_sign_accuracy,early_stop_win_rate,early_stop_long_trades,early_stop_short_trades,early_stop_long_pnl_sum,early_stop_short_pnl_sum,early_stop_sharpe_like,early_stop_timeout_trade_count,early_stop_upper_exit_trade_count,early_stop_lower_exit_trade_count,early_stop_vertical_exit_trade_count,early_stop_coverage,early_stop_backtest_mode,early_stop_backtest_uses_oracle_exit,calibration_rmse,calibration_mae,calibration_ic,calibration_trade_auc,calibration_dir_auc,calibration_exit_type_accuracy,calibration_avg_predicted_tte,calibration_avg_true_tte,calibration_soft_utility_mean,calibration_scaled_soft_utility,calibration_selection_score,calibration_early_stop_score,calibration_predicted_exit_bar_mean,calibration_predicted_timeout_rate,calibration_gross_pnl_sum,calibration_pnl_sum,calibration_pnl_per_trade,calibration_n_trades,calibration_trade_rate,calibration_sign_accuracy,calibration_win_rate,calibration_long_trades,calibration_short_trades,calibration_long_pnl_sum,calibration_short_pnl_sum,calibration_sharpe_like,calibration_timeout_trade_count,calibration_upper_exit_trade_count,calibration_lower_exit_trade_count,calibration_vertical_exit_trade_count,calibration_backtest_mode,calibration_backtest_uses_oracle_exit,calibration_coverage,val_rmse,val_mae,val_ic,val_trade_auc,val_dir_auc,val_exit_type_accuracy,val_avg_predicted_tte,val_avg_true_tte,val_soft_utility_mean,val_scaled_soft_utility,val_selection_score,val_early_stop_score,val_predicted_exit_bar_mean,val_predicted_timeout_rate,val_gross_pnl_sum,val_pnl_sum,val_pnl_per_trade,val_n_trades,val_trade_rate,val_sign_accuracy,val_win_rate,val_long_trades,val_short_trades,val_long_pnl_sum,val_short_pnl_sum,val_sharpe_like,val_timeout_trade_count,val_upper_exit_trade_count,val_lower_exit_trade_count,val_vertical_exit_trade_count,val_backtest_mode,val_backtest_uses_oracle_exit,val_coverage,val_threshold_calibration_split,val_early_stop_sample_count,val_threshold_calibration_sample_count,test_rmse,test_mae,test_ic,test_trade_auc,test_dir_auc,test_exit_type_accuracy,test_avg_predicted_tte,test_avg_true_tte,test_soft_utility_mean,test_scaled_soft_utility,test_selection_score,test_early_stop_score,test_predicted_exit_bar_mean,test_predicted_timeout_rate,test_gross_pnl_sum,test_pnl_sum,test_pnl_per_trade,test_n_trades,test_trade_rate,test_sign_accuracy,test_win_rate,test_long_trades,test_short_trades,test_long_pnl_sum,test_short_pnl_sum,test_sharpe_like,test_timeout_trade_count,test_upper_exit_trade_count,test_lower_exit_trade_count,test_vertical_exit_trade_count,test_backtest_mode,test_backtest_uses_oracle_exit,test_coverage,test_threshold_calibration_sample_count
20260412T213808Z_manual,mpnn,1,14,"[0.5310940552920064, 0.07391949907898862, 0.757396449704142, 0.7756410256410257, -0.0020927847996259166]",2026-04-12T22:44:42Z,2026-04-12T23:05:25Z,1242.2499836469997,783.6915936569985,0.66,0.68,0.03759398496240601,False,threshold_calibration_val,133,0.022510360088180928,0.01831686672343949,-0.0020927847996259166,0.7756410256410257,0.757396449704142,0.87,1.0,1.0,9.447797033564193e-05,0.07391949907898862,0.5310940552920064,0.5310940552920064,1.0,1.0,,,,0,,,,0,0,,,,0,0,0,0,,skipped_threshold_free_eval,False,0.023848356773140376,0.019158162176157713,-0.012571462358712785,0.3668141592920354,0.5858585858585859,0.849624060150376,1.0,1.0,3.806715289560847e-05,0.027905094690681333,0.34656358222085026,0.34656358222085026,1.0,1.0,0.00968656491022557,0.00818656491022557,0.0016373129820451142,5,0.03759398496240601,1.0,1.0,5,0,0.00818656491022557,0.0,7.179625406123379,5,0,0,5,realized_event_entry_model,True,0.03759398496240601,0.023206372744588834,0.018752252875471255,-0.007292003277693425,0.609453113164672,0.6950757575757576,0.8618618618618619,1.0,1.0,6.451554960350506e-05,0.049155223104830274,0.453357280988622,0.453357280988622,1.0,1.0,0.026964016491547227,0.021564016491547225,0.0011980009161970681,18,0.05405405405405406,0.9444444444444444,0.8888888888888888,18,0,0.021564016491547225,0.0,4.410996768927576,14,4,0,14,realized_event_entry_model,True,0.05405405405405406,tail_of_validation,200,133,0.02456288781368581,0.019045907956684847,-0.0420972555139727,0.6521801491681011,0.4376068376068376,0.7477477477477478,1.0,1.0,4.83534502532434e-05,0.02953762172657058,0.3242877210248627,0.3242877210248627,1.0,0.996996996996997,0.0004931756811856758,-0.020806824318814317,-0.0002930538636452721,71,0.2132132132132132,0.5070422535211268,0.49295774647887325,71,0,-0.020806824318814317,0.0,-1.1401799633883476,48,9,14,48,realized_event_entry_model,True,0.2132132132132132,133
20260412T213808Z_manual,mpnn,2,8,"[0.35704285328274393, 0.006163135174764907, 0.6138888888888889, 0.49753145405319316, -0.0031804407033512658]",2026-04-12T23:05:25Z,2026-04-12T23:22:38Z,1033.31123063,537.026180591999,0.58,0.68,0.045112781954887216,False,threshold_calibration_val,133,0.03225882467987852,0.024742971565424342,-0.0031804407033512658,0.49753145405319316,0.6138888888888889,0.8,1.0,1.0,9.411505427750156e-06,0.006163135174764907,0.35704285328274393,0.35704285328274393,1.0,0.995,,,,0,,,,0,0,,,,0,0,0,0,,skipped_threshold_free_eval,False,0.03315840471496422,0.02524744664823034,-0.015978855362951582,0.5049694189602446,0.6111111111111112,0.8195488721804511,1.0,1.0,0.00010872338038768196,0.07144629234322963,0.42219170518726634,0.42219170518726634,1.0,1.0,0.007794085278874263,0.005994085278874264,0.0009990142131457106,6,0.045112781954887216,0.8333333333333334,0.8333333333333334,6,0,0.005994085278874264,0.0,1.9063333669442093,5,1,0,5,realized_event_entry_model,True,0.045112781954887216,0.03198222735991582,0.024618906333152543,-0.013815374724009701,0.5037624926513815,0.6018518518518519,0.8078078078078078,1.0,1.0,5.115271192035794e-05,0.0335440408507877,0.3799417480818283,0.3799417480818283,1.0,0.996996996996997,0.01187600873527117,0.006176008735271172,0.0003250530913300617,19,0.057057057057057055,0.5789473684210527,0.47368421052631576,19,0,0.006176008735271172,0.0,0.8153024370275541,15,3,1,15,realized_event_entry_model,True,0.057057057057057055,tail_of_validation,200,133,0.03921780288479824,0.03022850176037198,0.06714374209141766,0.6198101558882544,0.4721131186174391,0.6306306306306306,1.0,1.0,-1.0374944785811891e-05,-0.005399882982961128,0.30002254377812465,0.30002254377812465,1.0,0.987987987987988,0.01156807443476282,0.0013680744347628233,4.0237483375377154e-05,34,0.1021021021021021,0.5588235294117647,0.5588235294117647,33,1,0.004375538356741893,-0.0030074639219790696,0.09840453341653337,18,11,5,18,realized_event_entry_model,True,0.1021021021021021,133
20260412T213808Z_manual,mpnn,3,18,"[0.37819122784071013, 0.0441993226796354, 0.5073313782991202, 0.7046185661764706, 0.11122276439245381]",2026-04-12T23:22:38Z,2026-04-12T23:54:48Z,1929.7355451869998,1342.9071972549982,0.62,0.68,0.3157894736842105,True,threshold_calibration_val,133,0.02705132571860297,0.019728334742342212,0.11122276439245381,0.7046185661764706,0.5073313782991202,0.68,1.0,1.0,7.658008954598201e-05,0.0441993226796354,0.37819122784071013,0.37819122784071013,1.0,1.0,,,,0,,,,0,0,,,,0,0,0,0,,skipped_threshold_free_eval,False,0.029279024979380893,0.02226838094410548,0.019705630116748835,0.5627885503231763,0.43124999999999997,0.5714285714285714,1.0,1.0,-5.8349935884199605e-05,-0.027996829603245614,0.25048395294523085,0.25048395294523085,1.0,1.0,0.004210100640193559,-0.008389899359806437,-0.00019975950856681993,42,0.3157894736842105,0.5714285714285714,0.5476190476190477,40,2,-0.011901265589869578,0.0035113662300631406,-0.545138478007915,23,8,11,23,realized_event_entry_model,True,0.3157894736842105,0.027936895439914716,0.020696729397789843,0.0717926881758628,0.6468111648214564,0.4725274725274725,0.6366366366366366,1.0,1.0,2.4270462471711822e-05,0.0129579411530628,0.3226169785136439,0.3226169785136439,1.0,1.0,0.014780286503082607,-0.013419713496917385,-0.00014276290954167432,94,0.2822822822822823,0.5319148936170213,0.5106382978723404,90,4,-0.017764508889697023,0.004344795392779634,-0.5844176634450919,48,23,23,48,realized_event_entry_model,True,0.2822822822822823,tail_of_validation,200,133,0.026943564484383904,0.020542986179730955,0.0799679688926108,0.5771422427695947,0.34658187599364076,0.7867867867867868,1.0,1.0,-3.8442188052393904e-05,-0.022837283186326045,0.2196958974262515,0.2196958974262515,1.0,1.0,0.009559524583892198,-0.011140475416107796,-0.00016145616545083764,69,0.2072072072072072,0.5217391304347826,0.4782608695652174,66,3,-0.005709905790322222,-0.005430569625785574,-0.6619734305424894,53,10,6,53,realized_event_entry_model,True,0.2072072072072072,133
20260412T213808Z_manual,mpnn,4,5,"[0.3702508830350217, 0.027124267288840702, 0.5663924794359577, 0.5883333333333334, -0.055483513870069966]",2026-04-12T23:54:48Z,2026-04-13T00:12:14Z,1045.588703940999,419.79268117100037,0.58,0.5,0.3458646616541353,True,threshold_calibration_val,133,0.027528846498682508,0.02192897349819759,-0.055483513870069966,0.5883333333333334,0.5663924794359577,0.7,1.0,1.0,4.929161341675821e-05,0.027124267288840702,0.3702508830350217,0.3702508830350217,1.0,1.0,,,,0,,,,0,0,,,,0,0,0,0,,skipped_threshold_free_eval,False,0.024064975088108023,0.019471367645763207,0.11744761614850478,0.4972332015810277,0.24615384615384617,0.8270676691729323,1.0,1.0,1.554157982884076e-06,0.0009527697590015225,0.18630698076538643,0.18630698076538643,1.0,1.0,0.010894028629991226,-0.0029059713700087704,-6.317329065236458e-05,46,0.3458646616541353,0.5652173913043478,0.5217391304347826,42,4,-0.003989679387793873,0.0010837080177851025,-0.22202866787204378,37,3,6,37,realized_event_entry_model,True,0.3458646616541353,0.026114232477871882,0.020875727196896395,0.00018133020907589668,0.5361927710843373,0.47939393939393943,0.7507507507507507,1.0,1.0,2.8989802927542223e-05,0.01663267814421214,0.31278886653413546,0.31278886653413546,1.0,1.0,0.021535392239456996,-0.004264607760542997,-4.958846233189531e-05,86,0.25825825825825827,0.5465116279069767,0.5116279069767442,79,7,-0.004843254757625976,0.000578646997082979,-0.21865537539599006,61,14,11,61,realized_event_entry_model,True,0.25825825825825827,tail_of_validation,200,133,0.02446037573803632,0.019731602364554856,0.040386073272720875,0.5357290546687619,0.48451794510907814,0.6786786786786787,1.0,1.0,1.5959454158767577e-05,0.008609540728281441,0.3070019742276809,0.3070019742276809,1.0,1.0,0.02161867272843665,-0.01618132727156335,-0.00012842323231399485,126,0.3783783783783784,0.5476190476190477,0.5,121,5,-0.01594983227393531,-0.00023149499762803276,-0.6441466606542963,83,24,19,83,realized_event_entry_model,True,0.3783783783783784,133
